GI	Eco_Ctrl1	Eco_Ctrl2	Eco_Exp1	Eco_Exp2
b0945	0	0	1	0
b0946	2	1	9	1
b0947	2	0	5	1
b0948	15	2	74	19
b0949	0	0	7	1
b0950	2	0	5	0
b0951	4	0	2	0
b0952	1	0	4	1
b0953	18	12	188	60
b0954	16	9	129	37
b0955	4	0	8	2
b0956	2	2	21	6
b0957	1132	309	1593	647
b0958	2	0	10	4
b0959	0	0	1	1
b0960	1	1	9	2
b0961	4	2	11	8
b0962	4	1	18	6
b0963	4	2	16	4
b0964	0	0	0	0
b0965	1	0	2	5
b0966	1	1	14	8
b0967	9	5	36	12
b0968	0	0	0	0
b0969	0	0	5	0
b0970	13	8	41	8
b0972	0	0	0	0
b0973	0	0	0	0
b0974	0	0	0	0
b0975	1	0	0	0
b0976	0	0	0	0
b0977	0	0	0	0
b0978	0	0	2	0
b0979	0	0	2	0
b0980	0	0	0	0
b0981	0	0	0	0
b0982	0	0	0	0
b0983	2	0	0	0
b0984	0	0	0	0
b0985	0	0	0	0
b0986	0	0	0	0
b0987	1	1	1	0
b0988	0	0	0	0
b0989	0	0	0	0
b0990	20	5	12	1
b0991	0	0	4	1
b0992	1	0	1	0
b0993	0	0	1	0
b0994	0	0	0	0
b0995	2	0	0	0
b0996	0	0	0	0
b0997	0	0	0	0
b0998	0	0	0	0
b0999	1	0	0	0
b1000	1	0	0	1
b1001	0	0	0	0
b1002	0	2	1	0
b1003	2	2	2	0
b1004	7	1	4	1
b1006	1	0	0	0
b1007	0	0	0	0
b1008	0	0	0	0
b1009	0	0	0	0
b1010	0	0	0	0
b1011	0	0	0	0
b1012	0	0	0	0
b1013	0	0	0	0
b1014	1	1	0	0
b1015	12	3	2	0
b1018	7	3	9	1
b1019	0	2	2	0
b1020	1	1	1	0
b1021	0	0	0	0
b1022	0	0	0	0
b1023	0	0	0	0
b1024	0	0	0	0
b1025	0	0	0	0
b1026	2	0	0	0
b1027	0	0	0	0
b1028	0	0	0	0
b1029	0	0	0	0
b1033	1	1	3	1
b1034	0	0	1	0
b1035	1	1	1	0
b1036	12	7	7	2
b1037	2	0	0	0
b1038	0	0	0	0
b1039	0	0	0	0
b1040	0	0	1	0
b1041	0	0	0	0
b1042	0	0	0	0
b1043	0	0	0	0
b1044	0	0	0	0
b1045	3	0	0	0
b1046	1	1	0	0
b1047	0	0	0	0
b1048	6	0	0	2
b1049	7	1	0	0
b1050	0	0	0	0
b1051	0	0	1	0
b1053	0	0	0	0
b1054	3	0	7	2
b1055	15	1	35	7
b1056	0	0	2	0
b1057	0	0	3	2
b1058	0	0	0	0
b1059	2	0	4	2
b1060	2	0	2	2
b1061	0	0	0	1
b1062	3	4	28	3
b1063	2	1	11	2
b1064	6	1	25	4
b1065	0	0	3	2
b1066	0	3	3	1
b1067	2	0	10	5
b1068	3	1	12	4
b1069	1	1	21	7
b1070	0	0	0	0
b1071	1	0	0	0
b1072	3	0	0	0
b1073	0	0	0	0
b1074	0	0	0	0
b1075	0	0	0	0
b1076	0	0	1	0
b1077	0	0	0	0
b1078	0	0	0	0
b1079	0	0	0	0
b1080	0	0	0	0
b1081	0	0	0	0
b1082	0	0	0	1
b1083	1	0	0	0
b1084	19	3	67	17
b1085	0	0	0	0
b1086	2	0	5	1
b1087	2	0	13	2
b1088	281	88	465	187
b1089	26	6	134	22
b1090	40	10	51	32
b1091	23	4	53	15
b1092	26	5	64	23
b1093	14	15	67	14
b1094	62	20	254	96
b1095	46	14	143	36
b1096	0	0	4	2
b1097	7	2	13	7
b1098	3	2	8	1
b1099	1	1	4	3
b1100	1	0	0	0
b1101	13	4	56	20
b1102	11	4	39	19
b1103	3	3	19	8
b1104	3	0	9	2
b1105	0	0	9	3
b1106	2	0	1	2
b1107	4	2	17	11
b1108	1	1	8	1
b1109	30	12	105	49
b1110	7	2	40	5
b1111	2	2	3	2
b1112	2	0	2	0
b1113	1	0	0	0
b1114	4	2	11	6
b1115	0	0	0	0
b1116	1	2	4	1
b1117	1	1	5	2
b1118	3	0	6	0
b1119	2	0	10	0
b1120	3	0	6	2
b1121	0	0	0	0
b1122	0	0	0	0
b1123	2	0	7	2
b1124	0	1	1	1
b1125	1	0	2	1
b1126	6	1	15	2
b1127	3	1	9	5
b1128	19	8	59	23
b1129	0	2	5	0
b1130	4	2	12	2
b1131	1	1	14	4
b1132	2	1	5	2
b1133	14	7	61	16
b1134	0	0	0	0
b1135	0	0	1	0
b1136	66	21	237	57
b1137	0	0	0	0
b1138	0	0	0	0
b1139	0	0	0	0
b1140	0	0	0	0
b1141	0	0	0	0
b1142	0	0	1	0
b1143	0	0	0	0
b1144	0	0	0	0
b1145	0	0	1	0
b1146	0	0	0	0
b1147	0	0	0	0
b1148	0	0	0	0
b1149	0	0	0	0
b1150	0	0	0	0
b1151	0	0	0	0
b1152	0	0	0	0
b1153	0	0	0	0
b1154	0	0	0	0
b1155	0	0	0	0
b1156	1	0	0	0
b1157	0	0	0	0
b1158	0	0	0	0
b1159	0	0	0	0
b1160	0	0	0	0
b1161	0	0	0	0
b1162	7	2	1	0
b1163	2	0	0	0
b1164	0	1	0	0
b1165	0	0	0	0
b1166	0	0	0	0
b1167	0	0	0	0
b1168	0	0	0	0
b1171	0	0	0	0
b1172	1	0	1	1
b1174	2	0	5	3
b1175	5	4	28	7
b1176	4	0	16	4
b1177	0	0	3	2
b1178	0	0	0	1
b1179	1	0	12	1
b1180	8	2	23	4
b1181	2	0	7	1
b1182	0	0	0	0
b1183	0	0	1	0
b1184	0	0	2	1
b1185	10	6	48	23
b1186	8	6	11	6
b1187	8	2	26	8
b1188	1	1	1	0
b1189	40	7	67	40
b1190	11	3	21	9
b1191	4	1	2	1
b1192	2	0	12	4
b1193	2	3	20	5
b1194	0	0	0	0
b1195	2	0	0	0
b1196	0	0	0	0
b1197	0	0	1	0
b1198	0	1	3	0
b1199	0	0	1	1
b1200	7	1	13	1
b1201	0	0	1	0
b1202	1	1	4	0
b1203	17	3	81	9
b1204	6	1	20	7
b1205	9	2	1	1
b1206	0	2	9	3
b1207	35	10	203	49
b1208	54	28	108	92
b1209	0	0	2	3
b1210	9	0	42	12
b1211	0	0	4	0
b1212	0	0	5	0
b1213	0	0	2	0
b1214	2	1	22	5
b1215	15	3	45	10
b1216	0	0	2	0
b1217	1	0	0	0
b1218	2	1	3	1
b1219	6	2	12	6
